"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
4RDZ4AY7,book,2009,,"Modern methods for musicology: prospects, proposals, and realities",,978-0-7546-7302-6,,,"http://books.google.de/books?hl=de&lr=&id=uani7DPZn24C&oi=fnd&pg=PA1&dq=Modern+methods+for+musicology:+prospects,+proposals,+and+realities&ots=5h1n8W039J&sig=ixgqhhjgJVfAbTg2HxCCXJd1Frk#v=onepage&q=Modern%20methods%20for%20musicology%3A%20prospects%2C%20proposals%2C%20and%20realities&f=false","Written by leading experts, this volume provides a picture of the realities of current ICT use in musicology as well as prospects and proposals for how it could be fruitfully used in the future. Through its coverage of topics spanning content-based sound searching/retrieval, sound and content analysis, markup and text encoding, audio resource sharing, and music recognition, this book highlights the breadth and inter-disciplinary nature of the subject matter and provides a valuable resource to technologists, musicologists, musicians and music educators. It facilitates the identification of worthwhile goals to be achieved using technology and effective interdisciplinary collaboration.",2009,2025-11-07 11:50:12,2025-11-07 11:50:12,,,185,,,,,Modern methods for musicology,Digital research in the arts and humanities,,,,Ashgate,"Farnham, England ; Burlington, VT",en,,,,,,,,,,,,X-CHECK; obj_Music,"Crawford, Tim; Gibson, Lorna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8VUHWPGC,book,2003,"Fiormonte, Domenico",Scrittura e filologia nell'era digitale,,,,,http://www.bollatiboringhieri.it/scheda.php?codice=9788833957135,"Questo libro è un’introduzione completa e accessibile al fenomeno della testualità digitale rivolta a studenti e ricercatori dell’area umanistica. Il volume è strutturato in quattro parti più un’appendice didattica disponibile in rete e costantemente aggiornata (www.bollatiboringhieri.it). Nella prima parte viene discusso il rapporto fra la comunicazione scritta e i suoi supporti. Lo scopo è mostrare come l’impatto di ciascun sistema di media – informatica inclusa – dia luogo a risultati complessi e contradditori intrecciandosi con fenomeni sociali, culturali, economici. Nella seconda parte l’autore analizza le principali forme della testualità digitale, dalle sue origini (la videoscrittura, l’ipertesto) ai giorni nostri (la comunicazione interattiva, i giochi di ruolo, la retorica del Web). Vengono poi affrontati i nodi teorici e pratici del rapporto fra critica testuale e digitalizzazione del documento. Prendendo spunto dallo studio delle varianti d’autore viene presentato Varianti digitali, un archivio on-line per la didattica e lo studio del processo di scrittura. Accompagna e conclude il volume una rassegna delle più importanti risorse on-line e off-line per la filologia digitale.",2003,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Bollati Boringhieri,Turino,it,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUCNAP35,book,2012,"Peer, Willie van; Hakemulder, Jèmeljan; Zyngier, Sonia",Scientific methods for the humanities,,978-90-272-3347-9 978-90-272-3348-6,,,https://benjamins.com/#catalog/books/lal.13/main,"Here is a much needed introductory textbook on empirical research methods for the Humanities. Especially aimed at students and scholars of Literature, Applied Linguistics, and Film and Media, it stimulates readers to reflect on the problems and possibilities of testing the empirical assumptions and offers hands-on learning opportunities to develop empirical studies. It explains a wide range of methods, from interviews to observation research, and guides readers through the choices researchers have to make. It discusses the essence of experiments, illustrates how studies are designed, how to develop questionnaires, and helps readers to collect and analyze data by themselves. The book presents qualitative approaches to research but focuses mostly on quantitative methods, detailing the workings of basic statistics. At the end, the book also shows how to give papers at international conferences, how to draft a report, and what is involved in the preparation of a publishable article.",2012,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,John Benjamins Pub.,"Amsterdam, Netherlands; Philadelphia, PA",en,,,,,,,,,,,,meta_GiveOverview; goal_Analysis; obj_Methods; obj_Literature; AnalyzeStatistically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBVURQH6,book,2010,"Borgman, Christine","Scholarship in the digital age : information, infrastructure, and the Internet",,978-0-262-51490-3,,,http://mitpress.mit.edu/books/scholarship-digital-age,"Scholars in all fields now have access to an unprecedented wealth of online information, tools, and services. The Internet lies at the core of an information infrastructure for distributed, data-intensive, and collaborative research. Although much attention has been paid to the new technologies making this possible, from digitized books to sensor networks, it is the underlying social and policy changes that will have the most lasting effect on the scholarly enterprise. In Scholarship in the Digital Age, Christine Borgman explores the technical, social, legal, and economic aspects of the kind of infrastructure that we should be building for scholarly research in the twenty-first century. Borgman describes the roles that information technology plays at every stage in the life cycle of a research project and contrasts these new capabilities with the relatively stable system of scholarly communication, which remains based on publishing in journals, books, and conference proceedings. No framework for the impending “data deluge” exists comparable to that for publishing. Analyzing scholarly practices in the sciences, social sciences, and humanities, Borgman compares each discipline’s approach to infrastructure issues. In the process, she challenges the many stakeholders in the scholarly infrastructure--scholars, publishers, libraries, funding agencies, and others--to look beyond their own domains to address the interaction of technical, legal, economic, social, political, and disciplinary concerns. Scholarship in the Digital Age will provoke a stimulating conversation among all who depend on a rich and robust scholarly environment. Christine L. Borgman is Professor and Presidential Chair in Information Studies at the University of California, Los Angeles. She is the author of From Gutenberg to the Global Information Infrastructure: Access to Information in the Networked World (MIT Press, 2000).",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,Scholarship in the digital age,,,,,MIT Press,Cambridge  Mass. ;;London,en,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities; act_Conceptualizing; obj_Infrastructures; obj_Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVBAAFUU,book,2013,"Jones, Steven E.",The Emergence of the Digital Humanities,,978-0-415-63551-6,,,http://www.routledge.com/books/details/9780415635523/,"The past decade has seen a profound shift in our collective understanding of the digital network. What was once understood to be a transcendent virtual reality is now experienced as a ubiquitous grid of data that we move through and interact with every day, raising new questions about the social, locative, embodied, and object-oriented nature of our experience in the networked world.   In The Emergence of the Digital Humanities, Steven E. Jones examines this shift in our relationship to digital technology and the ways that it has affected humanities scholarship and the academy more broadly. Based on the premise that the network is now everywhere rather than merely ""out there,"" Jones links together seemingly disparate cultural events—the essential features of popular social media, the rise of motion-control gaming and mobile platforms, the controversy over the ""gamification"" of everyday life, the spatial turn, fabrication and 3D printing, and electronic publishing—and argues that cultural responses to changes in technology provide an essential context for understanding the emergence of the digital humanities as a new field of study in this millennium.",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,224,,,,,,,,,,Routledge,New York,en,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities; meta_Assessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGD4CFML,book,2006,"Boonstra, Onno; Breure, Leen; Doorn, Peter","Past, present and future of historical information science",,978-90-6984-413-8,,,http://www.dans.knaw.nl/sites/default/files/file/publicaties/Past-present.pdf,"This book evaluates the results of two decades of research in ‘history and computing’. In spite of the fact that a lot has been accomplished, the report indicates critical places for improvement. Many historians and other humanities scholars seem satisfied with standard office tools, which do not always suit their complex sources and research questions. While more and more archival sources have become available in digital form, there has not been enough attention to the development of computational methods to process and analyse them. As a result, the level of technical sophistication in many historical studies has remained rather low. The authors propose a new research agenda and provide requirements for an adequate research infrastructure for future historical information science.",2006,2025-11-07 11:50:12,2025-11-07 11:50:12,2012-03-21 11:18:03,,,,,,,,,,,,Data Archiving and Networked Services,Amsterdam,en,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5MIUXIH,book,2010,,Online Humanities Scholarship: The Shape of Things to Come,,,,,http://cnx.org/content/col11199/latest/,"The papers, responses, and proceedings of the Online Humanities Scholarship: The Shape of Things to Come conference, held at the University of Virginia on March 26-28, 2010.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,2012-09-08 14:38:23,,,,,,,Online Humanities Scholarship,,,,,,,en,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities; X-CHECK; obj_AnyObject,"McGann, Jerome",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38I223Y9,book,2010,"Numerico, Teresa; Fiormonte, Domenico; Tomasi, Francesca",L'umanista digitale,,978-88-15-13425-7,,,http://books.google.it/books?id=78sNQgAACAAJ,"II manuale mostra come l'informatica, fin dalla sua nascita, si sia nutrita di un ricco contributo interdisciplinare proveniente da filosofi, linguisti, filologi, antropologi, psicologi e sociologi, e fornisce gli strumenti teorici e le competenze pratiche per affrontare le sfide che le tecnologie pongono al laureato e al ricercatore in discipline umanistiche. Il problema della trasformazione digitale della cultura è affrontato in tre diverse prospettive: elaborazione e ricerca, scrittura, conservazione dei saperi. Ciascuno di questi ambiti è affrontato da uno specialista del tema in un linguaggio semplice e rigoroso. Ne risulta una mappa dei cambiamenti e dei processi di riorganizzazione della produzione della conoscenza umanistica, che illustra le ragioni che dovrebbero indurre gli studiosi ad acquisire l'esperienza e le competenze necessarie a dialogare con la tecnologia digitale. Arricchisce il volume la presenza di un sito web, nel quale docenti e studenti troveranno materiali utili per integrare lo studio e la didattica.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,Itinerari: Scienze umanistiche,,,,Il mulino,Bologna,it,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3VIM37B,book,2012,,"Lire demain: des manuscrits antiques a l'ère digitale Jérôme , François Vallotton, Joseph Verheyden and Benjamin Bertho",,978-2-88074-958-3,,,,,2012,2025-11-07 11:50:12,2025-11-07 11:50:12,,,192,,,,,Lire demain,,,,,Presses polytechniques et universitaires romandes,Lausanne,fr,,,,,,,,,,,,,"Clivaz, Claire; Meizozéô",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPIQGF9Q,book,2013,"Wievorka, Michel",L'impératif numérique ou La nouvelle ère des sciences humaines et sociales ?,,978-2-271-07981-7,,,http://lectures.revues.org/12837,"Et si l’omniprésence du numérique signait non seulement une nouvelle ère, un changement culturel majeur mais aussi une rupture profonde, une transformation radicale de l’humanité ? Et si le numérique constituait, après l’invention de l’écriture et celle de l’imprimerie, la troisième grande révolution ? A ces questions, Michel Wieviorka en ajoute une autre : l’ère du numérique ne pourrait-elle pas susciter en France aussi le renouveau des sciences humaines et sociales (SHS) ? Sa réponse est oui. Dans ce manifeste, le sociologue met en évidence le retard des SHS françaises dans la prise en compte et l’utilisation des nouveaux outils numériques. Sans doute ceux-ci représentent-ils un risque pour les libertés individuelles. Mais ils sont aussi un formidable outil de travail pour le chercheur en sciences sociales, fertile en innovations, nouvelles pratiques et nouvelles méthodes : le monde virtuel ne pourrait-il pas, par exemple, constituer un nouveau terrain d’enquête ? L’histoire, dont Fukuyama prédisait la fin, ne devient-elle pas une histoire à la fois globale et individuelle grâce aux Big data et leurs millions de données consultables en open access ? De sujet d’étude, l’homme et la société ne deviennent-ils pas acteurs/auteurs de leur propre récit ? Pour Michel Wieviorka, les sciences humaines et sociales doivent être partie prenante des nouvelles technologies de l’information. Comment ? En utilisant données et réseaux sociaux du web 2.0 pour échanger, communiquer, travailler de manière collaborative et produire des Humanités numériques - référence aux anciennes Humanités. Exemples à l’appui, il explique tout le parti qu’elles pourraient tirer du numérique et propose une nouvelle organisation de la recherche afin de dépasser le système des disciplines, véritable frein à l’innovation intellectuelle. Un saut qualitatif propice à l’éclosion des figures d’intellectuels qui nous font aujourd’hui défaut…",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,CNRS,Paris,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CLQBR46,book,1898,"Lutoslawski, Wincenty",Principes de stylométrie appliqués a la chonologie des oeuvres de Platon,,,,,http://books.google.de/books/about/Principes_de_stylom%C3%A9trie_appliqu%C3%A9s_%C3%A0.html?id=fgQXYAAACAAJ&redir_esc=y,,1898,2025-11-07 11:50:12,2025-11-07 11:50:12,,,21,,,,,,,,,,Ernets Leroux,Paris,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDMQAIWJ,book,2014,"Kee, Kevin",Pastplay: Teaching and Learning History with Technology,,,,,http://www.digitalculture.org/books/pastplay-teaching-and-learning-history-with-technology/,"In the field of history, the Web and other technologies have become important tools in research and teaching of the past. Yet the use of these tools is limited—many historians and history educators have resisted adopting them because they fail to see how digital tools supplement and even improve upon conventional tools (such as books). In Pastplay, a collection of essays by leading history and humanities researchers and teachers, editor Kevin Kee works to address these concerns head-on. How should we use technology? Playfully, Kee contends. Why? Because doing so helps us think about the past in new ways; through the act of creating technologies, our understanding of the past is re-imagined and developed. From the insights of numerous scholars and teachers, Pastplay argues that we should play with technology in history because doing so enables us to see the past in new ways by helping us understand how history is created; honoring the roots of research, teaching, and technology development; requiring us to model our thoughts; and then allowing us to build our own understanding.",2014,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,Digital Culture,,,,Univ. of Michigan Press,Ann Arbor,en,,,,,,,,,,,,meta_Teaching; obj_DigitalHumanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSDYUAQF,book,1995,"Kammer, Manfred",Literarische Datenbanken. Anwendungen der Datenbanktechnologie in der Literaturwissenschaft,,978-3-7705-2983-4,,,,,1995,2025-11-07 11:50:12,2025-11-07 11:50:12,,,259,,,,,,,,,,München: Fink 1995,,de,,,,,,,,,,,,obj_Literature; AnalyzeStatistically; obj_Data/Databases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXQ69GFS,book,2014,,Lexicon of Scholarly Editing. A Multilingual Lexicon for a Multilingual Discipline,,,,,http://uahost.uantwerpen.be/lse/,,2014,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Centre for Manuscript Genetics,Antwerp,en,,,,,,,,,,,,act_Annotating; obj_Text; goal_Enrichment; obj_Manuscripts; act_Editing,"Dillen, Wout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
